title,date,photo
"XX Mistrzostwa Polski na Ergometrze Wioślarskim","2011-02-07 15:44:49 +0100",http://hospicjum/sites/default/files/gallery/20110207154449/galeria-20110207154449-1.jpg;http://hospicjum/sites/default/files/gallery/20110207154449/galeria-20110207154449-2.jpg;http://hospicjum/sites/default/files/gallery/20110207154449/galeria-20110207154449-3.jpg;http://hospicjum/sites/default/files/gallery/20110207154449/galeria-20110207154449-4.jpg;http://hospicjum/sites/default/files/gallery/20110207154449/galeria-20110207154449-5.jpg
"Pola Nadziei - Żółty pochód życia","2011-04-20 17:14:12 +0100",http://hospicjum/sites/default/files/gallery/20110420171412/galeria-20110420171412-1.jpg;http://hospicjum/sites/default/files/gallery/20110420171412/galeria-20110420171412-2.jpg;http://hospicjum/sites/default/files/gallery/20110420171412/galeria-20110420171412-3.jpg;http://hospicjum/sites/default/files/gallery/20110420171412/galeria-20110420171412-4.jpg;http://hospicjum/sites/default/files/gallery/20110420171412/galeria-20110420171412-5.jpg;http://hospicjum/sites/default/files/gallery/20110420171412/galeria-20110420171412-6.jpg;http://hospicjum/sites/default/files/gallery/20110420171412/galeria-20110420171412-7.jpg;http://hospicjum/sites/default/files/gallery/20110420171412/galeria-20110420171412-8.jpg;http://hospicjum/sites/default/files/gallery/20110420171412/galeria-20110420171412-9.jpg;http://hospicjum/sites/default/files/gallery/20110420171412/galeria-20110420171412-10.jpg;http://hospicjum/sites/default/files/gallery/20110420171412/galeria-20110420171412-11.jpg;http://hospicjum/sites/default/files/gallery/20110420171412/galeria-20110420171412-12.jpg;http://hospicjum/sites/default/files/gallery/20110420171412/galeria-20110420171412-13.jpg;http://hospicjum/sites/default/files/gallery/20110420171412/galeria-20110420171412-14.jpg;http://hospicjum/sites/default/files/gallery/20110420171412/galeria-20110420171412-15.jpg;http://hospicjum/sites/default/files/gallery/20110420171412/galeria-20110420171412-16.jpg;http://hospicjum/sites/default/files/gallery/20110420171412/galeria-20110420171412-17.jpg
"Wystawa 'Świat Uli'","2011-04-26 12:16:41 +0100",http://hospicjum/sites/default/files/gallery/20110426121641/galeria-20110426121641-1.jpg;http://hospicjum/sites/default/files/gallery/20110426121641/galeria-20110426121641-2.jpg;http://hospicjum/sites/default/files/gallery/20110426121641/galeria-20110426121641-3.jpg;http://hospicjum/sites/default/files/gallery/20110426121641/galeria-20110426121641-4.jpg;http://hospicjum/sites/default/files/gallery/20110426121641/galeria-20110426121641-5.jpg;http://hospicjum/sites/default/files/gallery/20110426121641/galeria-20110426121641-6.jpg;http://hospicjum/sites/default/files/gallery/20110426121641/galeria-20110426121641-7.jpg;http://hospicjum/sites/default/files/gallery/20110426121641/galeria-20110426121641-8.jpg;http://hospicjum/sites/default/files/gallery/20110426121641/galeria-20110426121641-9.jpg;http://hospicjum/sites/default/files/gallery/20110426121641/galeria-20110426121641-10.jpg;http://hospicjum/sites/default/files/gallery/20110426121641/galeria-20110426121641-11.jpg;http://hospicjum/sites/default/files/gallery/20110426121641/galeria-20110426121641-12.jpg
"Majówka 2011","2011-05-06 12:34:27 +0100",http://hospicjum/sites/default/files/gallery/20110506123427/galeria-20110506123427-1.jpg;http://hospicjum/sites/default/files/gallery/20110506123427/galeria-20110506123427-2.jpg;http://hospicjum/sites/default/files/gallery/20110506123427/galeria-20110506123427-3.jpg;http://hospicjum/sites/default/files/gallery/20110506123427/galeria-20110506123427-4.jpg;http://hospicjum/sites/default/files/gallery/20110506123427/galeria-20110506123427-5.jpg;http://hospicjum/sites/default/files/gallery/20110506123427/galeria-20110506123427-6.jpg;http://hospicjum/sites/default/files/gallery/20110506123427/galeria-20110506123427-7.jpg;http://hospicjum/sites/default/files/gallery/20110506123427/galeria-20110506123427-8.jpg;http://hospicjum/sites/default/files/gallery/20110506123427/galeria-20110506123427-9.jpg;http://hospicjum/sites/default/files/gallery/20110506123427/galeria-20110506123427-10.jpg;http://hospicjum/sites/default/files/gallery/20110506123427/galeria-20110506123427-11.jpg;http://hospicjum/sites/default/files/gallery/20110506123427/galeria-20110506123427-12.jpg;http://hospicjum/sites/default/files/gallery/20110506123427/galeria-20110506123427-13.jpg;http://hospicjum/sites/default/files/gallery/20110506123427/galeria-20110506123427-14.jpg;http://hospicjum/sites/default/files/gallery/20110506123427/galeria-20110506123427-15.jpg;http://hospicjum/sites/default/files/gallery/20110506123427/galeria-20110506123427-16.jpg;http://hospicjum/sites/default/files/gallery/20110506123427/galeria-20110506123427-17.jpg
"Krwiobieg 2011","2011-05-25 16:44:05 +0100",http://hospicjum/sites/default/files/gallery/20110525164405/galeria-20110525164405-1.jpg;http://hospicjum/sites/default/files/gallery/20110525164405/galeria-20110525164405-2.jpg;http://hospicjum/sites/default/files/gallery/20110525164405/galeria-20110525164405-3.jpg;http://hospicjum/sites/default/files/gallery/20110525164405/galeria-20110525164405-4.jpg;http://hospicjum/sites/default/files/gallery/20110525164405/galeria-20110525164405-5.jpg;http://hospicjum/sites/default/files/gallery/20110525164405/galeria-20110525164405-6.jpg;http://hospicjum/sites/default/files/gallery/20110525164405/galeria-20110525164405-7.jpg;http://hospicjum/sites/default/files/gallery/20110525164405/galeria-20110525164405-8.jpg;http://hospicjum/sites/default/files/gallery/20110525164405/galeria-20110525164405-9.jpg;http://hospicjum/sites/default/files/gallery/20110525164405/galeria-20110525164405-10.jpg;http://hospicjum/sites/default/files/gallery/20110525164405/galeria-20110525164405-11.jpg;http://hospicjum/sites/default/files/gallery/20110525164405/galeria-20110525164405-12.jpg;http://hospicjum/sites/default/files/gallery/20110525164405/galeria-20110525164405-13.jpg;http://hospicjum/sites/default/files/gallery/20110525164405/galeria-20110525164405-14.jpg;http://hospicjum/sites/default/files/gallery/20110525164405/galeria-20110525164405-15.jpg;http://hospicjum/sites/default/files/gallery/20110525164405/galeria-20110525164405-16.jpg;http://hospicjum/sites/default/files/gallery/20110525164405/galeria-20110525164405-17.jpg;http://hospicjum/sites/default/files/gallery/20110525164405/galeria-20110525164405-18.jpg;http://hospicjum/sites/default/files/gallery/20110525164405/galeria-20110525164405-19.jpg;http://hospicjum/sites/default/files/gallery/20110525164405/galeria-20110525164405-20.jpg;http://hospicjum/sites/default/files/gallery/20110525164405/galeria-20110525164405-21.jpg;http://hospicjum/sites/default/files/gallery/20110525164405/galeria-20110525164405-22.jpg;http://hospicjum/sites/default/files/gallery/20110525164405/galeria-20110525164405-23.jpg;http://hospicjum/sites/default/files/gallery/20110525164405/galeria-20110525164405-24.jpg;http://hospicjum/sites/default/files/gallery/20110525164405/galeria-20110525164405-25.jpg;http://hospicjum/sites/default/files/gallery/20110525164405/galeria-20110525164405-26.jpg;http://hospicjum/sites/default/files/gallery/20110525164405/galeria-20110525164405-27.jpg;http://hospicjum/sites/default/files/gallery/20110525164405/galeria-20110525164405-28.jpg;http://hospicjum/sites/default/files/gallery/20110525164405/galeria-20110525164405-29.jpg;http://hospicjum/sites/default/files/gallery/20110525164405/galeria-20110525164405-30.jpg;http://hospicjum/sites/default/files/gallery/20110525164405/galeria-20110525164405-31.jpg;http://hospicjum/sites/default/files/gallery/20110525164405/galeria-20110525164405-32.jpg;http://hospicjum/sites/default/files/gallery/20110525164405/galeria-20110525164405-33.jpg
"Zumba maraton","2011-06-03 00:28:00 +0100",http://hospicjum/sites/default/files/gallery/20110603002800/galeria-20110603002800-1.jpg;http://hospicjum/sites/default/files/gallery/20110603002800/galeria-20110603002800-2.jpg;http://hospicjum/sites/default/files/gallery/20110603002800/galeria-20110603002800-3.jpg;http://hospicjum/sites/default/files/gallery/20110603002800/galeria-20110603002800-4.jpg;http://hospicjum/sites/default/files/gallery/20110603002800/galeria-20110603002800-5.jpg;http://hospicjum/sites/default/files/gallery/20110603002800/galeria-20110603002800-6.jpg
"Zbieraj nakrętki - Finał","2011-06-20 11:43:09 +0100",http://hospicjum/sites/default/files/gallery/20110620114309/galeria-20110620114309-1.jpg;http://hospicjum/sites/default/files/gallery/20110620114309/galeria-20110620114309-2.jpg;http://hospicjum/sites/default/files/gallery/20110620114309/galeria-20110620114309-3.jpg;http://hospicjum/sites/default/files/gallery/20110620114309/galeria-20110620114309-4.jpg;http://hospicjum/sites/default/files/gallery/20110620114309/galeria-20110620114309-5.jpg;http://hospicjum/sites/default/files/gallery/20110620114309/galeria-20110620114309-6.jpg;http://hospicjum/sites/default/files/gallery/20110620114309/galeria-20110620114309-7.jpg;http://hospicjum/sites/default/files/gallery/20110620114309/galeria-20110620114309-8.jpg;http://hospicjum/sites/default/files/gallery/20110620114309/galeria-20110620114309-9.jpg;http://hospicjum/sites/default/files/gallery/20110620114309/galeria-20110620114309-10.jpg;http://hospicjum/sites/default/files/gallery/20110620114309/galeria-20110620114309-11.jpg;http://hospicjum/sites/default/files/gallery/20110620114309/galeria-20110620114309-12.jpg;http://hospicjum/sites/default/files/gallery/20110620114309/galeria-20110620114309-13.jpg;http://hospicjum/sites/default/files/gallery/20110620114309/galeria-20110620114309-14.jpg;http://hospicjum/sites/default/files/gallery/20110620114309/galeria-20110620114309-15.jpg
"Dzień Dziecka 2011","2011-06-20 12:14:37 +0100",http://hospicjum/sites/default/files/gallery/20110620121437/galeria-20110620121437-1.jpg;http://hospicjum/sites/default/files/gallery/20110620121437/galeria-20110620121437-2.jpg;http://hospicjum/sites/default/files/gallery/20110620121437/galeria-20110620121437-3.jpg;http://hospicjum/sites/default/files/gallery/20110620121437/galeria-20110620121437-4.jpg;http://hospicjum/sites/default/files/gallery/20110620121437/galeria-20110620121437-5.jpg;http://hospicjum/sites/default/files/gallery/20110620121437/galeria-20110620121437-13.jpg;http://hospicjum/sites/default/files/gallery/20110620121437/galeria-20110620121437-14.jpg;http://hospicjum/sites/default/files/gallery/20110620121437/galeria-20110620121437-15.jpg;http://hospicjum/sites/default/files/gallery/20110620121437/galeria-20110620121437-16.jpg;http://hospicjum/sites/default/files/gallery/20110620121437/galeria-20110620121437-17.jpg;http://hospicjum/sites/default/files/gallery/20110620121437/galeria-20110620121437-18.jpg;http://hospicjum/sites/default/files/gallery/20110620121437/galeria-20110620121437-19.jpg;http://hospicjum/sites/default/files/gallery/20110620121437/galeria-20110620121437-20.jpg;http://hospicjum/sites/default/files/gallery/20110620121437/galeria-20110620121437-21.jpg;http://hospicjum/sites/default/files/gallery/20110620121437/galeria-20110620121437-22.jpg;http://hospicjum/sites/default/files/gallery/20110620121437/galeria-20110620121437-23.jpg;http://hospicjum/sites/default/files/gallery/20110620121437/galeria-20110620121437-24.jpg;http://hospicjum/sites/default/files/gallery/20110620121437/galeria-20110620121437-25.jpg;http://hospicjum/sites/default/files/gallery/20110620121437/galeria-20110620121437-26.jpg;http://hospicjum/sites/default/files/gallery/20110620121437/galeria-20110620121437-27.jpg;http://hospicjum/sites/default/files/gallery/20110620121437/galeria-20110620121437-28.jpg;http://hospicjum/sites/default/files/gallery/20110620121437/galeria-20110620121437-29.jpg;http://hospicjum/sites/default/files/gallery/20110620121437/galeria-20110620121437-30.jpg;http://hospicjum/sites/default/files/gallery/20110620121437/galeria-20110620121437-31.jpg;http://hospicjum/sites/default/files/gallery/20110620121437/galeria-20110620121437-32.jpg;http://hospicjum/sites/default/files/gallery/20110620121437/galeria-20110620121437-33.jpg;http://hospicjum/sites/default/files/gallery/20110620121437/galeria-20110620121437-34.jpg;http://hospicjum/sites/default/files/gallery/20110620121437/galeria-20110620121437-35.jpg;http://hospicjum/sites/default/files/gallery/20110620121437/galeria-20110620121437-41.jpg;http://hospicjum/sites/default/files/gallery/20110620121437/galeria-20110620121547-1.jpg;http://hospicjum/sites/default/files/gallery/20110620121437/galeria-20110620121547-2.jpg;http://hospicjum/sites/default/files/gallery/20110620121437/galeria-20110620121547-3.jpg;http://hospicjum/sites/default/files/gallery/20110620121437/galeria-20110620121547-4.jpg;http://hospicjum/sites/default/files/gallery/20110620121437/galeria-20110620121547-5.jpg;http://hospicjum/sites/default/files/gallery/20110620121437/galeria-20110620121547-6.jpg;http://hospicjum/sites/default/files/gallery/20110620121437/galeria-20110620121547-7.jpg;http://hospicjum/sites/default/files/gallery/20110620121437/galeria-20110620121547-8.jpg;http://hospicjum/sites/default/files/gallery/20110620121437/galeria-20110620121547-9.jpg;http://hospicjum/sites/default/files/gallery/20110620121437/galeria-20110620121547-10.jpg;http://hospicjum/sites/default/files/gallery/20110620121437/galeria-20110620121547-11.jpg;http://hospicjum/sites/default/files/gallery/20110620121437/galeria-20110620121547-12.jpg
"Penitencjariusze Zakładu Karnego nr 1 we Wrocławiu pomagają Adriankowi","2011-07-27 11:41:16 +0100",http://hospicjum/sites/default/files/gallery/20110727114116/galeria-20110727114116-1.jpg;http://hospicjum/sites/default/files/gallery/20110727114116/galeria-20110727114116-2.jpg;http://hospicjum/sites/default/files/gallery/20110727114116/galeria-20110727114116-3.jpg
"Dolnośląski Festiwal Nauki","2011-09-19 11:59:24 +0100",http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-1.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-2.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-3.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-4.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-5.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-6.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-7.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-8.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-9.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-10.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-11.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-12.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-13.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-14.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-15.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-16.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-17.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-18.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-19.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-20.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-21.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-22.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-23.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-24.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-25.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-26.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-27.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-28.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-29.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-30.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-31.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-32.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-33.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-34.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-35.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-36.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-37.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-38.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-39.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-40.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-41.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-42.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-43.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-44.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-45.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-46.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-47.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-48.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-49.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-50.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-51.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-52.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-53.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-54.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-55.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-56.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-57.jpg;http://hospicjum/sites/default/files/gallery/20110919115924/galeria-20110919115924-58.jpg
